id,lingkar dada,lebar dada,dalam dada,panjang badan,tinggi pundak,tinggi pinggul,lebar pinggul,berat badan
262,47,12.5,18,44,48,49,11.5,12.88
263,61,11.5,23.5,46,54,55,12,18.64
264,59,12,22,45,56,56.5,12.5,18.16
265,55,13.5,21,46,55,56,12,18.56
266,54,14,22.8,44,49,49.4,14,19.28
267,52,13,18.8,46.1,44.5,46,11.4,12.38
268,50,11.5,17,40,43,44.5,12.5,12.16
269,65,12,18,50,56,58,13,25.8
270,50,11.5,17,40,43,44.5,12.5,12.16
271,68,12,27,60,60,60,16,31
272,67,12,24,50,62,63,16,29.15
273,63,14,22,46,52,56,10,18.54
274,60,13,25,42,51,53,13,15.3
275,67,12,22,44,57,59,14,24.65
276,59,13,18,34,43,46,12,11.34
277,54,11,19,40,45,47,13,13.24
278,48,12,14,39,49,50,11,11.38
279,52,10,19,36,44,47,12,11.66
280,52,10,16,36,44,47,11,11.86
281,53,11,17,43,46,49,12.5,13.68
282,44,10,16,32,44,45,10,9.26
283,66,15,23,48,57,59,16,26.15
284,55,10,20,41,46,48,13,16.16
285,66,13,22,46,59,61,14,24.3
286,57,16,22,49,49,51,14,17.18
287,60,15,23,55,54,56,14,19.92
288,64,16,24,46,59.5,60,14,22.8
289,63,14,21,45,53,54,14.5,21.6
290,64,17,23,41,59,60,16,17.46
291,60,18,23.5,51,53,55,15,24.45
292,57,18,24,45,51,53,14,26.15
293,63,19,20,47,58,58,12,17.18
294,58,15,22,48,54,54,12.4,19.9
295,63,14,26,58,60,65,20,32
296,68,14,27,60,60,60,16,31
297,67,14,24,50,62,63,16,29.15
298,63,14,22,46,52,56,10,18.54
299,63,14,21,45,53,54,14.5,21.6
300,58,15,22,48,54,54,12.4,19.9
301,65,12,18,50,56,58,13,25.8
302,73,14,24,52,59,60,15,29.06
303,74,15,25,53,60,61,16,30
304,41.93,10.33,17.27,35.27,31.80,35.60,12.27,5.64
305,33.50,7.53,15.30,29.03,32.93,32.70,7.43,3.44
306,37.10,11.00,15.53,31.90,35.30,35.63,6.27,4.27
307,41.00,13.10,18.53,30.73,35.43,39.30,7.90,6.05
308,28.60,7.97,10.73,24.47,22.77,28.87,4.40,2.72
309,35.47,9.20,13.67,31.83,30.93,35.67,7.73,3.96
310,35.07,9.23,14.33,27.50,33.67,34.33,7.77,3.81
311,34.60,10.03,13.57,30.63,29.23,32.57,8.33,3.72
312,26.80,5.77,9.43,23.17,25.83,26.90,6.07,1.98
313,29.57,6.10,11.80,20.57,24.03,26.70,7.57,1.91
314,29.20,7.00,11.27,20.67,26.17,27.60,7.83,2.43
315,31.17,8.77,11.40,22.80,25.40,27.20,9.90,2.65
316,44.50,11.57,14.43,37.60,41.87,39.00,9.10,7.65
317,43.57,11.33,17.63,38.50,40.13,42.10,11.00,7.72
318,40.87,11.03,14.50,34.90,34.33,30.30,12.27,6.82
319,41.40,10.50,15.73,38.23,37.30,39.53,12.50,6.78
